Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,Brand,Model
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,11.57,1.25,11.407564949312402,0.22314355131420976,maruti,alto
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,11.57,1.53,9.888272386729648,0.4252677354043441,tata,nano
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,11.57,5.58,10.000296608464188,1.7191887763932197,mahindra,kuv
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,11.57,4.74,10.476921711213846,1.556037135706985,hyundai,i20
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,23.64,8.85,10.744494236334926,2.180417459019838,hyundai,elantra
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,11.57,10.11,10.859018228147887,2.3135250330323798,toyota,corolla
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,11.57,4.25,10.968284492709508,1.4469189829363254,hyundai,elantra
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,18.64,10.95,11.166257427370521,2.3933394562625097,toyota,innova
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,11.57,3.85,11.225243392518447,1.3480731482996928,hyundai,xcent
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,11.57,5.5,11.235853571630463,1.7047480922384253,mahindra,thar
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,11.57,21.43,9.52134826973146,3.064791809485486,audi,a4
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,11.57,4.25,10.858998997563564,1.4469189829363254,maruti,swift
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,11.57,3.3,10.87804719253426,1.1939224684724346,maruti,swift
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,11.57,3.85,11.092092879730941,1.3480731482996928,maruti,swift
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,11.57,3.6,10.896739325546411,1.2809338454620642,hyundai,grand
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,11.57,3.99,10.571316925111784,1.3837912309017721,volkswagen,vento
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,11.57,3.3,9.713657880251851,1.1939224684724346,renault,kwid
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,11.57,2.07,10.373491181781864,0.7275486072772777,hyundai,i10
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,11.57,7.75,11.71023415157243,2.0476928433652555,nissan,x-trail
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,11.57,2.25,10.578979797857352,0.8109302162163288,maruti,zen
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,19.34,16.5,9.998797732340453,2.803360380906535,toyota,innova
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,11.57,2.75,11.184421397998193,1.0116009116784799,ford,figo
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11.57,26.7,10.968198289528557,3.2846635654062037,mercedes-benz,new
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,11.57,10.0,11.082142548877775,2.302585092994046,mercedes-benz,new
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,11.57,2.5,12.089538829274222,0.9162907318741551,tata,indica
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,11.57,13.5,11.092306109090387,2.6026896854443837,audi,a4
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,11.57,1.85,11.05089000537367,0.6151856390902335,honda,city
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,49.14,35.67,9.640107772607312,3.5743099993708003,mercedes-benz,c-class
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,11.57,8.15,11.05089000537367,2.0980179272527715,maruti,ertiga
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,11.81,10.5,9.472704636443673,2.3513752571634776,hyundai,creta
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,11.57,14.5,11.198214720130528,2.6741486494265287,porsche,cayenne
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.57,9.65,10.928255936745675,2.2669579153508947,mahindra,xuv500
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,11.57,3.48,10.71836552166722,1.247032293786383,hyundai,i10
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,16.65,6.92,10.93428484717576,1.9344157696295783,nissan,terrano
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,11.57,6.46,10.526748605631907,1.8656293177945105,honda,brio
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,11.57,29.5,10.933106969717286,3.3843902633457743,audi,a6
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,94.0,5.0,11.57,2.0,11.618284980627555,0.6931471805599453,ford,fiesta
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,11.57,4.5,12.345834587905333,1.5040773967762742,toyota,innova
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.57,11.75,11.55214617812351,2.463853240590168,toyota,innova
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,94.0,5.0,11.57,1.3,11.380433531920369,0.26236426446749106,hyundai,santro
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,11.57,3.75,11.462684248533481,1.3217558399823195,maruti,swift
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,6.67,4.5,11.156250521031495,1.5040773967762742,tata,zest
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,11.57,4.82,10.914069763697203,1.572773928062509,honda,amaze
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,11.57,2.8,11.161053255132654,1.0296194171811581,ford,figo
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,11.57,3.11,11.50929889691453,1.1346227261911428,maruti,ritz
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,11.57,3.25,10.858998997563564,1.1786549963416462,honda,city
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,11.57,13.9,11.225243392518447,2.631888840136646,bmw,5
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,11.57,2.25,11.471895115412236,0.8109302162163288,hyundai,i10
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,11.57,5.75,9.680344001221918,1.749199854809259,hyundai,grand
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,94.0,5.0,11.57,2.1,11.208368475293602,0.7419373447293773,hyundai,santro
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,11.57,5.0,9.849506438669614,1.6094379124341003,honda,amaze
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,11.57,16.5,11.580584113444043,2.803360380906535,toyota,fortuner
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,11.57,39.58,10.78657304197918,3.6783239401744194,audi,a6
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,11.57,5.5,10.950806546816688,1.7047480922384253,ford,ecosport
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.57,8.1,10.968198289528557,2.0918640616783932,mahindra,xuv500
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11.57,3.5,10.308952660644293,1.252762968495368,honda,amaze
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.57,2.79,10.440331738700673,1.0260415958332743,volkswagen,polo
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,11.57,3.45,11.156279092051912,1.2383742310432684,hyundai,verna
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,11.57,4.45,11.03488966402723,1.4929040961781488,maruti,wagon
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,11.57,2.65,11.034905792929415,0.9745596399981308,volkswagen,polo
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,11.57,3.8,11.276671344505923,1.33500106673234,hyundai,i20
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,11.57,4.65,10.31493473232184,1.536867219599265,hyundai,i20
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,6.45,3.95,10.39973746484973,1.3737155789130306,datsun,go
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,11.57,9.8,10.308952660644293,2.2823823856765264,audi,a4
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,11.57,2.7,11.097410021008562,0.9932517730102834,hyundai,i20
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,11.57,2.41,11.449453042014655,0.8796267475025636,maruti,omni
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,6.41,3.9,10.87804719253426,1.3609765531356006,toyota,etios
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,11.57,24.0,11.26446410567173,3.1780538303479458,jaguar,xf
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,11.57,5.75,11.082142548877775,1.749199854809259,mahindra,xuv500
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,11.57,5.25,10.596634733096073,1.6582280766035324,hyundai,verna
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,27.0,19.25,10.308952660644293,2.9575110607337933,toyota,innova
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5.13,3.91,10.546735203808643,1.3635373739972745,maruti,eeco
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,11.57,2.15,10.146433731146518,0.7654678421395714,tata,nano
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.43,20.75,10.934659335602204,3.0325462466767075,bmw,3
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,11.57,3.35,11.17167382517569,1.208960345836975,honda,civic
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.57,11.11,10.915088464214607,2.4078456036515385,toyota,innova
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,11.57,20.0,10.395130356885344,2.995732273553991,volvo,v40
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,9.51,6.55,10.593680373269637,1.8794650496471605,nissan,micra
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,11.57,7.0,11.759785542901755,1.9459101490553132,bmw,5
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.96,7.5,10.915088464214607,2.0149030205422647,maruti,vitara
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,94.0,5.0,11.57,0.85,11.532728092266408,-0.16251892949777494,hyundai,santro
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,11.57,16.75,10.892154758385857,2.8183982582710754,mercedes-benz,b
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.44,10.95,9.235032984566555,2.3933394562625097,hyundai,verna
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,11.57,2.45,10.689077168485634,0.8960880245566357,maruti,wagon
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,11.57,3.23,10.394640940504598,1.172482137234565,tata,nano
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,11.57,7.75,10.645424897265505,2.0476928433652555,mahindra,scorpio
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,11.57,9.35,10.252452853404808,2.2353763433005955,mercedes-benz,new
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,11.57,3.25,11.406453220459712,1.1786549963416462,maruti,wagon
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,11.57,5.25,10.772686676876432,1.6582280766035324,honda,cr-v
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,11.57,7.25,10.915088464214607,1.9810014688665833,volkswagen,vento
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,11.57,7.47,10.698401298243683,2.010894999144726,maruti,ciaz
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,11.57,13.25,10.896739325546411,2.583997552432231,mahindra,xuv500
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,11.57,5.81,10.316656245029325,1.7595805708638197,maruti,ritz
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.53,2.6,11.390757830996021,0.9555114450274363,maruti,alto
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,95.04,54.0,9.500918247539989,3.9889840465642745,mercedes-benz,slc
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13.49,11.5,9.445017159104065,2.4423470353692043,hyundai,verna
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,11.57,1.6,11.455137441202835,0.47000362924573563,maruti,alto
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,11.57,17.22,10.36788172817358,2.8460714989995846,bmw,1
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,11.57,6.0,9.392661928770137,1.791759469228055,honda,jazz
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,11.57,3.95,11.391638798762143,1.3737155789130306,honda,civic
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,11.57,17.95,10.713639688348616,2.8875901149342877,mercedes-benz,new
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11.57,3.7,10.715395068816916,1.308332819650179,honda,amaze
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,11.57,5.43,10.440097875275846,1.691939133945844,maruti,swift
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,94.0,5.0,11.57,1.67,11.299224689982603,0.5128236264286637,hyundai,santro
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,11.57,13.49,11.421193874370635,2.6019486702196644,toyota,fortuner
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,11.57,2.85,10.566175525611365,1.0473189942805592,chevrolet,beat
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,11.57,4.75,11.326595886778735,1.55814461804655,skoda,rapid
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,11.57,9.9,10.628206071933391,2.2925347571405443,maruti,ciaz
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,128.0,37.0,10.043249494911286,3.6109179126442243,audi,rs5
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,60.88,26.5,10.778956289890028,3.2771447329921766,bmw,3
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,11.57,23.32,10.783404714295925,3.1493113614822916,audi,a4
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,11.57,6.25,10.46310334047155,1.8325814637483102,maruti,swift
